,X,Y,Z,Scat_Angle,doca,Labels
count,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0
mean,-144.35625671388723,142.97528967837326,-16.552060146255215,0.002548721044990425,1.943859713334942,0.0
std,61.89636199421247,61.905530535290346,57.873314381331646,0.05450279528137183,3.6092576106163006,0.0
min,-296.0989990234375,29.934600830078125,-179.95599365234375,-0.3483929932117462,1.5440400602528825e-05,0.0
25%,-197.81400299072266,87.30482292175293,-59.762325286865234,-0.015588275389745831,0.18544524535536766,0.0
50%,-142.88849639892578,140.50450134277344,-18.46969985961914,0.0010866050142794847,0.719965010881424,0.0
75%,-86.93497276306152,196.1364974975586,24.372249603271484,0.01956947473809123,2.149097502231598,0.0
max,-8.606820106506348,331.14599609375,243.89300537109375,0.39010098576545715,41.54460144042969,0.0
