,X,Y,Z,Scat_Angle,doca,Labels
count,3696.0,3696.0,3696.0,3696.0,3696.0,3696.0
mean,-145.8224435038381,-142.33612921330837,-12.524876292104011,0.0027118645774276027,1.8080568281899996,2.0
std,62.092107849805686,61.41834208725422,57.9122176804648,0.05706686384265087,3.148993267382439,0.0
min,-298.0220031738281,-249.94700622558594,-179.1009979248047,-0.29045501351356506,3.537250086083077e-05,2.0
25%,-199.66400146484375,-195.77200317382812,-54.979451179504395,-0.01623679930344224,0.19940825179219246,2.0
50%,-142.9980010986328,-140.78350067138672,-14.51550006866455,0.0007979274960234761,0.7124100029468536,2.0
75%,-90.12637519836426,-85.839599609375,27.603224754333496,0.017724799923598766,2.007810056209564,2.0
max,-21.27560043334961,-16.607799530029297,268.6260070800781,0.41502100229263306,37.17430114746094,2.0
