,X,Y,Z,Scat_Angle,DoCA,mean_Scat_angle
count,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0
mean,-145.67633056640625,-146.5143585205078,-9.335519790649414,0.0024404909927397966,1.8563833236694336,0.0024404909927397966
std,61.9560432434082,59.747432708740234,57.00944137573242,0.05693989247083664,3.187976121902466,0.0
min,-298.0220031738281,-249.94700622558594,-179.1009979248047,-0.29045501351356506,3.537250086083077e-05,0.0024404909927397966
25%,-199.22750091552734,-198.03400421142578,-49.15010070800781,-0.016415449790656567,0.21697399765253067,0.0024404909927397966
50%,-143.33299255371094,-145.16200256347656,-11.395500183105469,0.000837805971968919,0.7443910241127014,0.0024404909927397966
75%,-89.89049911499023,-93.09885025024414,30.189599990844727,0.018034599721431732,2.0650200843811035,0.0024404909927397966
max,-21.27560043334961,-29.654499053955078,268.6260070800781,0.41502100229263306,37.17430114746094,0.0024404909927397966
