,X,Y,Z,Scat_Angle,doca,Labels
count,18558.0,18558.0,18558.0,18558.0,18558.0,18558.0
mean,-144.5259421363269,143.01978640942266,-15.700594808170562,0.0008103928472720282,1.8583256535412052,2.0
std,61.83683979596756,61.42122100071312,57.815400675086536,0.056274416367562995,3.2969438161743354,0.0
min,-249.99400329589844,16.9950008392334,-179.9320068359375,-0.4322800040245056,1.536290074000135e-05,2.0
25%,-198.6650047302246,87.43007278442383,-57.21517467498779,-0.017683349549770355,0.19400475174188614,2.0
50%,-142.13849639892578,139.87950134277344,-17.90280055999756,0.00048066650924738497,0.7224155068397522,2.0
75%,-88.17717170715332,195.8574981689453,24.724899768829346,0.017998175229877234,2.0662450194358826,2.0
max,-34.698699951171875,249.99899291992188,134.95799255371094,0.3926849961280823,55.48820114135742,2.0
