,X,Y,Z,Scat_Angle,doca,Labels
count,3798.0,3798.0,3798.0,3798.0,3798.0,3798.0
mean,145.21959790560746,142.32431039432277,-16.379550125724535,0.0008483830162957522,1.8665572474720624,3.0
std,61.864617437700225,61.35861942827528,57.96842853897827,0.05444730452127252,3.2006065894472364,0.0
min,1.4388799667358398,1.2201800346374512,-178.68299865722656,-0.339942991733551,1.7613299860386178e-05,3.0
25%,89.71649932861328,87.2523250579834,-59.570000648498535,-0.01844847435131669,0.19889400526881218,3.0
50%,143.96649932861328,139.0034942626953,-17.650050163269043,-0.0003840534918708727,0.7618499994277954,3.0
75%,199.28724670410156,195.84675216674805,23.290550231933594,0.0175821497105062,2.1162149906158447,3.0
max,259.5929870605469,256.5299987792969,134.24200439453125,0.36225199699401855,45.00239944458008,3.0
