X,Y,Z,Scat_Angle,DoCA
93.4548,51.5091,-73.214,0.00283486,0.142854
58.1981,64.3713,-74.6511,0.0262261,0.171777
65.1203,68.858,-86.6186,-0.00982032,0.10203
60.5335,82.7462,-52.2743,0.0186474,0.414046
53.0864,59.8203,-72.8241,0.0122952,0.200199
50.2295,50.6825,-45.8293,0.00430792,0.0228875
65.5828,94.303,-52.8597,-0.0363735,0.172653
82.7318,65.9145,-71.0824,0.00545097,1.13565
68.9853,76.6084,-79.5553,0.0154514,1.88311
93.3254,75.0008,-62.0075,0.00275046,3.3101
81.2772,74.3134,-72.5493,0.00367155,1.16844
54.1288,94.7868,-71.6185,0.00994378,0.318963
68.7592,82.877,-56.7325,0.0179327,8.8596
67.0377,86.474,-61.6389,0.0254332,0.430391
57.2623,88.9425,-64.5171,-0.0232275,1.11694
98.1612,56.2571,-68.5078,0.00675466,3.55787
97.0696,59.9843,-63.4993,-0.144911,1.72443
73.0122,59.3333,-87.3503,0.0265619,0.236276
90.0145,64.0075,-56.4825,0.0164834,0.20006
56.0572,72.0547,-56.0293,0.0307246,0.370155
57.4047,74.5497,-72.2291,-0.0138712,1.23155
77.3321,96.4793,-79.9997,-0.00321717,0.28989
54.5984,63.539,-48.3875,0.00159502,0.464238
61.2392,87.9767,-83.704,0.00920408,0.0890375
84.7344,81.4373,-61.3675,-0.00106459,12.8421
65.5457,63.0913,-80.1797,0.00075114,0.107495
94.5249,54.4907,-69.3401,0.0209533,0.333015
92.0764,86.6961,-47.6932,0.0268123,0.973858
72.0338,61.846,-52.7983,-0.0045172,0.252004
51.8754,50.3313,-68.8924,-0.000948102,0.00873325
93.5385,67.4748,-45.5723,-0.0169478,1.09963
66.3714,50.2008,-63.0895,-0.00295822,0.0546221
58.1091,70.1946,-63.651,0.106549,4.11631
68.8127,97.2969,-86.3614,-0.00420338,0.765586
65.1136,72.5504,-47.1219,-0.121246,2.77433
98.0728,89.7656,-88.6828,0.00182243,1.27585
99.5913,69.3486,-69.6843,0.0211152,1.38858
92.1348,58.5439,-78.9156,-0.0103196,0.127363
69.915,77.9984,-50.3344,-0.00788761,0.261955
59.2354,96.3466,-82.3104,0.000892124,0.0266227
99.9759,61.8748,-70.8512,-0.00159184,0.188018
88.944,96.2375,-48.1798,-0.0497957,1.30941
68.81,76.3835,-60.3712,0.0105675,0.0336289
97.2082,72.7497,-76.6525,0.0201313,0.301421
80.6844,66.0969,-84.544,0.0117028,0.107712
80.6613,50.3726,-74.7474,0.0467433,0.499162
84.2148,52.9755,-77.5552,0.0385873,0.298443
63.8911,99.4175,-46.7454,-0.0549736,2.21089
75.0092,93.4841,-54.052,-0.00215606,0.673352
90.0058,72.0377,-53.2856,0.000606428,0.759583
69.2194,73.1072,-72.7792,0.00996212,0.26803
57.8705,94.6917,-88.2864,-0.0255344,0.165367
84.4065,56.5263,-88.5693,-0.0106538,0.218578
97.7305,54.5733,-60.0584,0.0233645,0.231287
94.7037,57.8847,-87.7265,0.00718328,1.0436
67.0368,65.3868,-66.3233,-0.0025611,1.35361
66.7464,66.4591,-62.8908,-0.00765378,0.351355
68.1027,53.0467,-57.3342,0.166668,5.86491
79.1548,65.1859,-75.1583,-0.0066907,0.53497
72.1491,81.3627,-76.7291,-0.0327264,1.44057
57.9057,62.9906,-51.2334,-0.00249445,0.0576156
70.0245,84.4676,-47.9292,-0.0344174,0.00429686
51.5036,84.5895,-83.2813,0.025155,0.117176
97.7235,78.404,-51.3326,-0.00294073,0.373539
81.9779,94.6747,-57.9836,-0.0288196,1.18413
53.7009,94.9133,-82.6672,0.00966862,0.0457545
93.5231,80.5211,-60.0339,-0.0307835,1.5036
99.5285,84.6287,-81.7314,-0.0263985,2.23757
55.7751,57.5241,-69.5861,0.0168693,0.396828
60.672,71.4241,-56.9596,0.00230714,0.132825
57.9981,65.8396,-88.7664,-0.00256201,0.633312
98.116,54.8043,-53.8417,-0.0811941,2.56738
64.3649,53.1789,-50.6791,0.0270587,0.66506
94.282,64.212,-48.4524,-0.0166218,0.621081
77.9476,56.9933,-68.0171,0.0179115,1.53843
68.8757,74.2853,-87.5433,-0.0723976,10.1248
66.9096,72.5227,-64.113,-0.000677262,0.0574728
58.1132,90.7801,-85.2845,0.00368388,0.139092
92.5823,95.4162,-54.2127,0.0186417,0.768577
89.1167,57.7681,-50.8545,0.0590002,1.97989
75.976,76.4597,-58.9092,0.00529345,0.260125
67.0325,55.5947,-52.5268,0.0269863,0.273029
78.3749,72.8522,-68.5088,0.00145838,0.186654
76.1868,56.9537,-78.3834,-0.00298526,0.0235569
79.9318,64.0249,-78.7663,-0.00289222,0.0012552
88.3003,57.2402,-79.169,-0.00709856,0.12212
66.3629,63.5202,-63.8837,0.00662696,0.30417
54.2927,80.831,-81.2995,-0.0218989,0.00800124
73.0727,63.4083,-66.9724,-0.00108493,0.027661
93.896,63.1564,-81.9337,0.00669706,0.204705
57.4351,63.2074,-47.4648,0.077085,0.486001
97.2049,78.6459,-49.8792,0.0134572,2.42415
77.9787,69.6966,-60.3492,-0.02592,0.550278
74.1386,52.0176,-63.1694,0.00509431,0.21503
96.096,80.6928,-74.304,-0.000987852,0.0255572
70.5666,63.0042,-61.8504,-0.0262145,1.34433
52.2309,71.1045,-79.84,0.0106146,0.0382934
95.4276,56.6606,-71.8227,-0.0018621,0.0109858
70.0121,57.539,-59.0061,-0.0245387,4.42252
77.4315,81.7888,-87.0405,-0.00226938,0.0490887
67.118,94.008,-89.9202,-0.361815,7.55768
54.0192,59.7079,-66.1106,-0.00991384,1.38065
87.5568,59.5427,-70.1473,0.101114,0.145605
52.5263,92.0985,-45.0934,0.0320825,0.520462
71.0125,55.6995,-54.5084,0.0229777,0.574617
92.8078,89.7189,-51.3895,0.0751043,0.488632
99.47,79.7795,-52.4736,-0.00344218,0.0731026
98.5575,97.7632,-69.8019,0.0141057,1.34306
75.1596,97.9455,-89.0401,-0.00838634,0.846153
72.2981,88.0687,-63.427,0.000954522,2.98106
96.604,89.612,-53.7376,0.0824229,1.84418
96.3623,52.4792,-45.3679,-0.0201168,1.62441
51.2004,67.9799,-84.7343,-0.00391866,0.222864
79.441,53.3353,-54.2453,0.0115807,0.0337466
65.8073,72.0804,-80.1174,-0.0315047,0.432214
62.1387,99.4487,-58.0084,0.00164112,0.96847
52.8612,68.5418,-69.4752,-0.216998,0.0157674
90.4739,71.9122,-45.0799,-0.091209,1.90909
79.9724,54.4538,-71.2394,0.00221597,0.303436
58.464,90.5711,-58.7719,0.040013,10.9273
65.5826,75.882,-49.0132,-0.0373822,0.620201
59.1359,86.3377,-80.5417,0.0121729,3.44666
56.8891,52.4028,-46.0953,0.00444926,0.0692899
90.8273,55.7829,-72.5062,-0.00103073,0.00631338
70.7205,78.3157,-79.5409,0.0497002,0.0666642
55.1346,80.8506,-87.6173,0.00107588,0.116661
97.0762,50.7084,-53.2437,-0.0572309,6.15839
62.7575,88.1561,-54.0786,0.00396061,6.30039
66.8486,70.8213,-69.5484,0.0125747,0.62852
67.2318,95.1618,-59.9859,0.00200074,0.0114086
62.3736,90.2707,-70.8684,0.00524864,0.153457
82.9817,63.1637,-66.4555,-0.00255446,0.0312282
98.5177,70.6944,-80.7481,0.0334474,0.409731
55.4113,94.902,-75.0244,-0.00669117,0.0295312
57.3026,52.648,-87.5983,-0.0616303,0.201758
67.1439,77.0267,-57.7721,0.010747,0.67762
64.4289,53.0284,-87.5252,-0.00707548,0.058236
69.9033,80.6338,-84.3631,-0.0111867,0.0245085
65.0486,70.1048,-47.0648,-0.00435391,0.211098
96.2751,96.8099,-61.7361,-0.00528625,0.533712
82.9722,62.1439,-77.2819,0.0643521,0.0964026
71.4461,62.6025,-67.5595,0.0504084,0.14122
77.4879,79.1087,-87.5514,-0.0217279,1.3839
78.4589,64.2482,-78.1318,-0.00146943,0.0346933
57.5744,64.2229,-52.643,-0.000649881,0.0419315
90.6898,84.6501,-75.2842,0.00752198,0.20547
91.5252,98.3588,-50.1727,-0.021748,0.114366
80.7037,89.2327,-54.7987,-0.00998776,0.471556
84.0111,55.4434,-74.7118,-0.0260594,0.0282722
93.5629,95.5668,-54.473,-0.0127929,0.374332
82.5894,59.1864,-53.3998,-0.00299777,0.221194
81.0536,76.3257,-68.8281,-0.00224969,0.106553
77.8819,69.6582,-49.9475,-0.0127554,2.20506
99.5624,80.6192,-83.2567,0.0030146,0.174473
86.7651,71.2871,-72.9057,0.000464688,0.213744
68.9736,77.8042,-50.1973,0.0140657,0.0654087
57.2482,88.6692,-70.1607,-0.0219016,7.3711
58.8671,84.0428,-69.354,-0.00955178,0.0374498
76.3104,54.0739,-78.1694,0.000398944,0.000421093
77.3876,76.3314,-70.5498,-0.019853,0.380398
56.121,78.4687,-58.1393,-0.00868327,2.65907
52.6777,77.0354,-64.995,0.00399887,0.448958
52.9982,57.5817,-75.4812,-0.00389547,0.109952
55.8717,92.7154,-87.6304,-0.0272628,0.0645625
85.9553,54.2635,-89.513,-0.0400635,1.09534
56.4556,93.3097,-87.6791,-0.0423378,5.02914
69.9963,99.5477,-49.7481,0.00568205,0.176007
58.4976,55.9202,-63.1193,0.00771255,1.03603
77.3386,78.1756,-53.8343,0.0119442,0.370194
60.7297,83.862,-81.3848,0.00474878,4.22853
84.9776,78.0373,-66.129,-0.000421838,0.14738
52.0375,55.4652,-89.9672,-0.000339861,0.00242633
72.2483,60.3861,-87.9392,-0.00435752,0.239686
85.4785,93.928,-50.9967,-0.000635812,0.0205428
52.5766,53.3581,-81.7268,0.00162647,0.00629647
50.4702,56.6001,-72.9357,0.00615954,0.0128014
96.3892,65.5808,-58.0151,-0.0017463,0.387816
92.589,51.8404,-49.3283,0.0124341,0.0292223
59.9501,84.0717,-88.7121,0.00338636,0.0370052
83.1826,83.442,-54.0977,0.0105896,3.79697
73.321,95.8901,-53.6048,0.216725,3.77204
97.1652,59.412,-55.5882,-0.0462706,0.222275
74.5502,64.0613,-85.3212,-0.00050097,0.737832
72.5482,60.7851,-80.5555,-0.00335271,0.0572914
53.556,66.9901,-77.8243,0.00278454,0.0915901
87.9336,64.7577,-78.3471,0.00640493,0.144141
75.788,63.4709,-53.4472,0.00621438,0.449088
82.3412,60.3441,-82.4276,0.00701085,0.0779947
56.377,50.1195,-60.4165,0.0112817,0.270522
59.1823,83.0407,-85.3674,0.00065105,0.00433634
54.8959,63.24,-70.8783,-0.00153321,1.76047E-05
83.685,85.6271,-74.4854,0.0907713,10.2679
70.3141,64.6381,-55.303,-0.0154069,1.40605
54.2537,59.2753,-62.2186,0.00896475,0.11403
89.6015,84.984,-61.5852,0.0783929,7.64184
78.7971,68.8192,-65.5007,-0.0343528,1.62745
75.524,62.1945,-68.5422,-0.00568642,0.154938
61.1471,82.1315,-64.6724,-0.125174,2.12992
96.1168,58.6444,-75.6523,-0.0269625,1.56218
78.7331,50.8878,-55.8398,-0.0100334,0.0573881
72.8768,63.3811,-49.4496,0.0158455,2.28445
56.3763,83.4336,-53.4585,-0.062356,5.72343
53.1936,72.7464,-50.6075,-0.0455837,0.762671
74.202,78.8186,-66.7931,0.0113064,0.309269
91.7013,52.0416,-78.2521,-0.00993467,0.0225262
71.5986,82.245,-82.4626,0.00173353,0.0295245
99.6593,96.1458,-58.615,0.00333089,0.362211
83.58,58.0379,-87.1536,-0.0739459,0.542534
83.2511,95.6115,-60.8405,-0.0583765,2.35787
69.8492,69.8365,-73.8794,0.0102334,0.0904598
58.4446,50.1169,-48.1827,-0.00215751,0.000415471
72.6976,93.8206,-80.8546,-0.0232051,0.416184
70.0115,51.9896,-57.8476,0.0103704,0.513408
62.769,72.9302,-66.4344,-0.141602,0.355727
95.5625,57.3247,-62.7107,-0.0109345,0.0537852
86.3471,88.6879,-59.4579,-0.0832411,4.89665
69.3121,74.3914,-73.9414,-0.00231924,0.374051
83.1433,79.0477,-79.1013,-0.00161306,0.007755
65.1596,72.3016,-75.3953,-0.021471,1.74107
99.1102,63.3638,-68.9665,0.0100743,0.116527
74.7255,85.6445,-46.879,-0.014896,0.0649247
95.8485,62.4064,-70.8683,0.00361691,1.54863
99.8272,63.2789,-74.7675,0.000631453,0.0465481
55.0281,81.4814,-82.8091,0.0229728,0.0840777
86.63,91.7267,-62.9593,-0.00532372,3.56953
55.1627,76.175,-72.5425,-0.00290431,0.0477221
91.8714,66.2498,-77.446,-0.236351,0.782975
53.0286,60.181,-68.0725,0.000363624,0.0385325
52.6516,52.9868,-74.3131,-0.000566692,0.00336171
83.3656,76.0231,-79.8979,-0.0683483,4.61772
66.0919,65.4178,-62.4322,-0.00765072,1.51698
54.1716,54.7815,-45.9358,0.000670235,0.0142976
87.7709,80.5118,-81.1466,0.00183333,0.316485
95.4654,90.9496,-46.7947,0.00948761,0.553955
86.5048,55.1764,-57.1174,0.149322,5.07266
75.0615,64.2353,-64.4304,-0.169376,2.47188
67.2927,51.9183,-56.891,0.00410632,0.167098
62.8775,64.0556,-51.1489,0.0231421,1.23021
86.0778,65.3989,-68.326,0.226656,4.84263
83.9536,85.1379,-50.0028,-0.0210108,0.0679333
68.9888,57.731,-89.6605,0.0531425,0.0437738
62.4298,86.3683,-58.0729,-0.0253952,0.520823
77.5309,82.3262,-66.6729,0.00662953,0.291947
