,X,Y,Z,Scat_Angle,DoCA
count,18297.0,18297.0,18297.0,18297.0,18297.0
mean,143.90380859375,-142.42837524414062,-15.058682441711426,0.0020781727507710457,1.8907880783081055
std,61.713497161865234,61.611976623535156,58.54052734375,0.05718834698200226,3.3101580142974854
min,35.010398864746094,-263.2149963378906,-179.99400329589844,-0.37970298528671265,1.0331499652238563e-05
25%,88.38240051269531,-195.6649932861328,-57.8578987121582,-0.016586799174547195,0.1890919953584671
50%,141.08599853515625,-138.8000030517578,-16.91659927368164,0.0005704070208594203,0.7104499936103821
75%,197.5290069580078,-86.46949768066406,25.162399291992188,0.018200699239969254,2.1150801181793213
max,271.1310119628906,-35.87049865722656,179.7729949951172,0.49060800671577454,59.59669876098633
