,X,Y,Z,Scat_Angle,doca,Labels
count,19059.0,19059.0,19059.0,19059.0,19059.0,19059.0
mean,144.90995569227624,143.6314159087378,-16.963632184522766,0.0007849737199248537,1.1105259998756882,3.0
std,61.40458737086126,61.55664561149683,57.69693439155289,0.03960849162017207,2.0036062987018575,0.0
min,35.797401428222656,14.847599983215332,-179.62399291992188,-0.3618150055408478,6.035870114828867e-07,3.0
25%,89.84734725952148,87.74814987182617,-58.614450454711914,-0.010144650004804134,0.10982649773359299,3.0
50%,142.0399932861328,140.87899780273438,-19.332000732421875,0.0004680530109908432,0.4088349938392639,3.0
75%,198.5135040283203,196.42499542236328,22.66819953918457,0.010763899888843298,1.2108049988746643,3.0
max,249.99400329589844,249.99899291992188,134.96800231933594,0.3517560064792633,34.80910110473633,3.0
