,X,Y,Z,Scat_Angle,doca,Labels
count,18297.0,18297.0,18297.0,18297.0,18297.0,18297.0
mean,143.90380001844733,-142.42837178908442,-15.058683565304142,0.0020781726888428917,1.8907880218192317,0.0
std,61.713498786096245,61.61197909999722,58.54052581581665,0.05718834457225785,3.3101579006076722,0.0
min,35.010398864746094,-263.2149963378906,-179.99400329589844,-0.37970298528671265,1.0331499652238563e-05,0.0
25%,88.38240051269531,-195.6649932861328,-57.8578987121582,-0.016586799174547195,0.1890919953584671,0.0
50%,141.08599853515625,-138.8000030517578,-16.91659927368164,0.0005704070208594203,0.7104499936103821,0.0
75%,197.5290069580078,-86.46949768066406,25.162399291992188,0.018200699239969254,2.1150801181793213,0.0
max,271.1310119628906,-35.87049865722656,179.7729949951172,0.49060800671577454,59.59669876098633,0.0
