,X,Y,Z,Scat_Angle,DoCA
count,18923.0,18923.0,18923.0,18923.0,18923.0
mean,-143.75155639648438,-142.7255859375,-18.542911529541016,0.0005038876552134752,0.5346112847328186
std,60.76667404174805,60.834930419921875,56.94337844848633,0.022465676069259644,1.0495080947875977
min,-249.99600219726562,-250.0,-179.52699279785156,-0.25989601016044617,5.654580036207335e-06
25%,-196.30599975585938,-195.06849670410156,-59.31030082702637,-0.004770365078002214,0.053186651319265366
50%,-140.20399475097656,-139.78599548339844,-20.284900665283203,0.0003128389944322407,0.19027100503444672
75%,-89.26950073242188,-87.39949798583984,19.892799377441406,0.004946419969201088,0.555512011051178
max,-30.381099700927734,-22.539899826049805,134.4149932861328,0.3098370134830475,24.967500686645508
