,X,Y,Z,Scat_Angle,DoCA
count,37617.0,37617.0,37617.0,37617.0,37617.0
mean,2.119424819946289,143.3296661376953,-16.340524673461914,0.0007975139888003469,1.4794460535049438
std,157.2794647216797,61.48981475830078,57.758094787597656,0.04855014756321907,2.745189905166626
min,-249.99400329589844,14.847599983215332,-179.9320068359375,-0.4322800040245056,6.035870114828867e-07
25%,-140.60000610351562,87.5282974243164,-57.97249984741211,-0.013383599929511547,0.14255200326442719
50%,50.823699951171875,140.43899536132812,-18.646799087524414,0.0004721890145447105,0.5394729971885681
75%,143.4459991455078,196.23599243164062,23.62190055847168,0.013976399786770344,1.5901399850845337
max,249.99400329589844,249.99899291992188,134.96800231933594,0.3926849961280823,55.48820114135742
