,X,Y,Z,Scat_Angle,doca,Labels
count,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0
mean,143.80351497597238,-140.8767705606902,-14.441530017920298,0.0011573510388480253,1.7940217036258617,1.0
std,62.61909135366023,61.579091997160724,57.77799626864341,0.05487222735926475,3.0783293231596485,0.0
min,3.343050003051758,-249.9810028076172,-179.60899353027344,-0.4199889898300171,0.00010254199878545478,1.0
25%,86.95210266113281,-193.92999267578125,-56.154701232910156,-0.01753149926662445,0.18846499919891357,1.0
50%,140.33799743652344,-137.16799926757812,-16.149700164794922,0.0003353040083311498,0.7310590147972107,1.0
75%,198.49200439453125,-84.96440124511719,26.3164005279541,0.01671620085835457,2.0390400886535645,1.0
max,249.99400329589844,-6.198170185089111,134.57899475097656,0.34802499413490295,41.42399978637695,1.0
